Date,Last Price,Volume,SMAVG (15)
16/03/2016,105.97,38303492,34495072
15/03/2016,104.58,40067736,34358556
14/03/2016,102.52,25076062,33816884
11/03/2016,102.26,27408236,34430528
10/03/2016,101.17,33513576,34961592
09/03/2016,101.12,27201684,35328752
08/03/2016,101.03,31561888,36506192
07/03/2016,101.87,35915808,37672592
04/03/2016,103.01,46055100,37968296
03/03/2016,101.5,36955744,38236272
02/03/2016,100.75,33169560,38595460
01/03/2016,100.53,50407148,39339572
29/02/2016,96.69,35216276,39580520
26/02/2016,96.91,28991132,40327304
25/02/2016,96.76,27582660,41492672
24/02/2016,96.1,36255744,42718116
23/02/2016,94.69,31942632,42791548
22/02/2016,96.88,34280760,43391608
19/02/2016,96.04,35374172,45400656
18/02/2016,96.26,39020984,46754300
17/02/2016,98.12,44863244,53044212
16/02/2016,96.64,49057916,55058464
12/02/2016,93.99,40351380,55240904
11/02/2016,93.7,50074712,56937508
10/02/2016,94.27,42343600,57076628
09/02/2016,94.99,44331196,59076016
08/02/2016,95.01,54021376,59659784
05/02/2016,94.02,46418064,61380620
04/02/2016,96.6,46471652,62497424
03/02/2016,96.35,45964296,63561956
02/02/2016,94.48,37357216,63774616
01/02/2016,96.43,40943540,64600096
29/01/2016,97.34,64416504,66590392
28/01/2016,94.09,55678824,67702256
27/01/2016,93.42,133369672,68554160
26/01/2016,99.99,75077000,63382248
25/01/2016,99.44,51794524,62887072
22/01/2016,101.42,65800468,62161592
21/01/2016,96.3,52161464,59455812
20/01/2016,96.79,72334416,58040464
19/01/2016,96.66,53087748,54998452
15/01/2016,97.13,79833888,52365712
14/01/2016,99.52,63170128,49220612
13/01/2016,97.39,62439632,47195228
12/01/2016,99.96,49154228,46205292
11/01/2016,98.53,49739376,49358564
08/01/2016,96.96,70798016,49027460
07/01/2016,96.45,81094432,48056824
06/01/2016,100.7,68457392,46205404
05/01/2016,102.71,55790992,45975152
04/01/2016,105.35,67649384,45381496
31/12/2015,105.26,40912316,42819052
30/12/2015,107.32,25213776,43182320
29/12/2015,108.74,30931244,43788700
28/12/2015,106.82,26704210,43865568
24/12/2015,108.03,13596680,45937084
23/12/2015,108.61,32657354,47801940
22/12/2015,107.23,32789368,47850552
21/12/2015,107.33,47590608,47988088
18/12/2015,106.03,96453328,47427400
17/12/2015,108.98,44772828,41866944
16/12/2015,111.34,56238468,40307976
15/12/2015,110.49,53323104,39412288
14/12/2015,112.48,65003608,38022916
11/12/2015,113.18,46886160,35975148
10/12/2015,116.17,29212728,35735792
09/12/2015,115.62,46361356,36899924
08/12/2015,118.23,34309448,35650296
07/12/2015,118.28,32084248,35903448
